Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Average_Price,Average_Mileage,Number_of_Cars,Standardized_Price
Ford,Fiesta,1.0,Petrol,2002,127300,3074,10671.473455469377,112525.01002941963,14956,-0.6550945907156619
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704,29103.764660789573,111638.253737064,2609,2.1851417235111827
Ford,Mondeo,1.6,Diesel,2014,39190,24072,10671.473455469377,112525.01002941963,14956,0.623894946623718
Toyota,RAV4,1.8,Hybrid,1988,210814,1705,14341.099418465705,111368.92232932367,12553,-0.7384804692096905
VW,Polo,1.0,Petrol,2006,127869,4101,10361.781497383605,113511.21642291694,14906,-0.5925399543289802
Ford,Focus,1.4,Petrol,2018,33603,29204,10671.473455469377,112525.01002941963,14956,0.9364853983632027
Ford,Mondeo,1.8,Diesel,2010,86686,14350,10671.473455469377,112525.01002941963,14956,0.03172729818036859
Toyota,Prius,1.4,Hybrid,2015,30663,30297,14341.099418465705,111368.92232932367,12553,1.0030600990162144
VW,Polo,1.2,Petrol,2012,73470,9977,10361.781497383605,113511.21642291694,14906,-0.23463241449632008
Ford,Focus,2.0,Diesel,1992,262514,1049,10671.473455469377,112525.01002941963,14956,-0.7784374716144258
VW,Golf,2.0,Diesel,2014,83047,17173,10361.781497383605,113511.21642291694,14906,0.20367641066294168
BMW,Z4,2.0,Petrol,1990,293666,719,24431.679089444,112858.0471394037,4964,-0.7985377929460762
VW,Golf,1.2,Diesel,2007,92697,7792,10361.781497383605,113511.21642291694,14906,-0.3677209057377024
Toyota,RAV4,2.2,Petrol,2007,79393,16026,14341.099418465705,111368.92232932367,12553,0.13381256651929616
Toyota,Yaris,1.4,Petrol,1998,97286,4046,14341.099418465705,111368.92232932367,12553,-0.5958900078842553
VW,Golf,1.6,Diesel,1989,222390,933,10361.781497383605,113511.21642291694,14906,-0.7855030391128242
Toyota,RAV4,2.4,Hybrid,2003,117425,11667,14341.099418465705,111368.92232932367,12553,-0.1316944052524134
Toyota,Yaris,1.2,Petrol,1992,245990,720,14341.099418465705,111368.92232932367,12553,-0.7984768828814348
Toyota,RAV4,2.0,Hybrid,2018,28381,52671,14341.099418465705,111368.92232932367,12553,2.3658618853021123
VW,Polo,1.2,Petrol,1998,155038,2118,10361.781497383605,113511.21642291694,14906,-0.7133246125128068
VW,Golf,1.2,Hybrid,1987,121744,1890,10361.781497383605,113511.21642291694,14906,-0.7272121072510379
Ford,Mondeo,1.6,Diesel,1996,77584,5667,10671.473455469377,112525.01002941963,14956,-0.49715479310060273
Toyota,Prius,1.0,Hybrid,2003,115291,6512,14341.099418465705,111368.92232932367,12553,-0.4456857884786494
Toyota,Prius,1.0,Hybrid,1990,238571,961,14341.099418465705,111368.92232932367,12553,-0.7837975573028659
Porsche,911,2.6,Petrol,2009,66273,41963,29103.764660789573,111638.253737064,2609,1.7136369131223772
Toyota,Prius,1.8,Hybrid,2017,31958,38961,14341.099418465705,111368.92232932367,12553,1.5307848990689998
Porsche,911,3.5,Petrol,2005,151556,19747,29103.764660789573,111638.253737064,2609,0.3604589170498149
Toyota,Yaris,1.2,Petrol,2002,179097,2548,14341.099418465705,111368.92232932367,12553,-0.6871332847170198
VW,Golf,2.0,Petrol,2020,18985,36387,10361.781497383605,113511.21642291694,14906,1.3740023926821268
Toyota,RAV4,1.8,Hybrid,2002,66990,13553,14341.099418465705,111368.92232932367,12553,-0.01681802333879923
Ford,Focus,1.0,Hybrid,2010,85131,12472,10671.473455469377,112525.01002941963,14956,-0.08266180321611467
Ford,Fiesta,1.0,Petrol,2001,144731,2503,10671.473455469377,112525.01002941963,14956,-0.6898742376258813
VW,Polo,2.0,Diesel,2008,97001,8784,10361.781497383605,113511.21642291694,14906,-0.30729812161346837
VW,Polo,1.6,Petrol,2016,52409,17257,10361.781497383605,113511.21642291694,14906,0.20879285609281634
Ford,Fiesta,1.4,Petrol,2010,112714,6936,10671.473455469377,112525.01002941963,14956,-0.4198599210707107
VW,Passat,2.0,Diesel,1992,198540,1964,10361.781497383605,113511.21642291694,14906,-0.722704762467577
VW,Passat,1.8,Diesel,1989,213162,1340,10361.781497383605,113511.21642291694,14906,-0.7607126428037886
BMW,Z4,2.2,Petrol,2005,133174,8511,24431.679089444,112858.0471394037,4964,-0.323926569260561
VW,Polo,1.6,Petrol,2008,129588,5848,10361.781497383605,113511.21642291694,14906,-0.48613007140051573
BMW,Z4,2.0,Petrol,1990,148586,2637,24431.679089444,112858.0471394037,4964,-0.6817122889639383
Ford,Focus,2.0,Petrol,1995,91173,5181,10671.473455469377,112525.01002941963,14956,-0.5267570845163061
BMW,M5,4.0,Petrol,2017,22759,97758,24431.679089444,112858.0471394037,4964,5.112113969787331
VW,Polo,1.4,Petrol,1990,261526,522,10361.781497383605,113511.21642291694,14906,-0.8105370756804251
VW,Passat,1.4,Diesel,1995,235594,1439,10361.781497383605,113511.21642291694,14906,-0.7546825464042936
BMW,Z4,2.0,Petrol,1995,42759,7873,24431.679089444,112858.0471394037,4964,-0.3627871905017518
VW,Passat,1.8,Diesel,2005,103352,9633,10361.781497383605,113511.21642291694,14906,-0.2555854767329496
VW,Passat,1.6,Petrol,2003,63372,10001,10361.781497383605,113511.21642291694,14906,-0.23317057294492732
Toyota,Yaris,1.0,Petrol,2009,51787,9689,14341.099418465705,111368.92232932367,12553,-0.2521745131130332
Ford,Fiesta,1.4,Petrol,2014,41495,14721,10671.473455469377,112525.01002941963,14956,0.05432493216231496
